strategy,symbol,tf,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 20}",369562,0.4116,-7824531.7,231.35,-198.29,0.818,-6.6598,136.1795,7865337.95
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 20}",327896,0.4119,-6980554.02,228.28,-196.56,0.815,-6.5306,132.0277,7006712.95
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 40}",369562,0.4113,-7750120.98,236.92,-201.2,0.823,-6.4072,110.2883,7815742.41
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 40}",365647,0.4107,-7740912.05,235.86,-200.42,0.821,-6.4892,101.6716,7766713.84
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 40}",327896,0.4115,-6932199.55,233.59,-199.33,0.82,-6.334,95.5901,6971345.09
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 40}",322390,0.411,-6855719.64,231.92,-198.04,0.818,-6.3553,87.3434,6880994.2
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 20}",365647,0.4111,-7775775.89,230.39,-197.4,0.817,-6.7676,83.1491,7802285.27
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 20}",322390,0.4115,-6864054.46,226.7,-195.15,0.814,-6.5652,77.1516,6892780.36
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 20}",327896,0.354,-6479675.89,298.43,-194.83,0.842,-4.9514,62.9481,6602268.75
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",369562,0.3543,-7201718.75,301.91,-196.61,0.846,-5.0297,62.5497,7362720.54
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 20}",322390,0.3531,-6434435.71,296.6,-193.46,0.84,-5.0637,49.7019,6486301.79
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",365647,0.3533,-7228855.36,300.91,-195.73,0.843,-5.1844,48.5568,7266846.43
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 40}",322390,0.3478,-6439722.32,312.22,-197.3,0.845,-4.725,48.4872,6481357.14
MultiDay_Momentum,ES,5m,"{""trend_days"": 3, ""pullback_atr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 40}",365647,0.3483,-7167448.21,317.14,-199.72,0.849,-4.7588,48.1812,7233990.18
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 40}",369562,0.3494,-7048685.71,318.44,-200.46,0.854,-4.5988,41.8853,7267784.82
MultiDay_Momentum,ES,5m,"{""trend_days"": 5, ""pullback_atr"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 40}",327896,0.3489,-6394157.14,314.38,-198.53,0.849,-4.5896,40.514,6559355.36
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 10}",46122,0.4869,-1437977.5,246.44,-295.83,0.794,-3.9252,15.7316,1440820.0
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 10}",35601,0.4881,-1091855.0,243.88,-293.39,0.795,-3.4675,13.4896,1094125.0
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 10}",35117,0.484,-1107242.86,251.48,-298.12,0.794,-3.4377,12.2564,1112968.75
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 10}",5113,0.3354,-173057.69,244.91,-178.21,0.708,-2.9964,11.7875,175871.53
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 10}",3115,0.3396,-116416.96,216.62,-171.26,0.663,-2.994,11.477,118816.96
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 6}",35117,0.476,-1085783.93,242.83,-282.37,0.789,-3.692,10.912,1087478.57
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 15}",1839,0.3317,-87721.87,248.71,-198.54,0.634,-2.8769,10.6489,95973.66
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 15}",1839,0.3464,-85292.86,236.19,-199.61,0.638,-2.9289,10.5165,91735.71
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 10}",45860,0.4849,-1425989.29,252.38,-299.15,0.797,-3.824,10.0471,1427742.86
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 10}",8778,0.3601,-277362.6,238.63,-186.89,0.731,-3.4418,9.7679,279327.78
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 10}",60362,0.4877,-1773240.0,248.71,-295.45,0.805,-4.1424,9.7018,1778758.75
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",1839,0.3409,-81837.5,259.87,-205.35,0.666,-2.6399,9.6988,88857.14
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 6}",46122,0.4783,-1422910.0,238.44,-280.31,0.787,-4.2669,9.5747,1425752.5
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5113,0.3489,-171396.53,231.16,-178.8,0.706,-3.171,9.5104,172645.19
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 6}",45860,0.4762,-1405552.68,243.59,-282.72,0.791,-4.1425,8.1749,1407306.25
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 15}",1839,0.3279,-85851.79,257.97,-199.02,0.644,-2.7436,7.8505,91100.0
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 10}",3115,0.3255,-114751.79,232.39,-170.43,0.673,-2.8268,7.4966,117803.12
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 10}",8778,0.3447,-276398.32,254.94,-185.69,0.736,-3.244,7.2215,279213.05
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 6}",35601,0.4805,-1064283.75,236.05,-278.32,0.791,-3.708,7.1338,1066553.75
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 15}",5113,0.3223,-172258.14,286.33,-188.79,0.733,-2.6579,6.9791,175127.78
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 10}",5113,0.3282,-167100.1,256.7,-177.82,0.72,-2.7452,6.8808,170983.59
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 20}",1839,0.3252,-79546.43,282.83,-203.83,0.68,-2.4354,6.8538,88896.43
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 6}",60362,0.4789,-1768487.5,240.29,-279.74,0.797,-4.527,5.7229,1773557.5
