strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 8}",235,0.4468,7682.5,391.71,-257.28,1.23,2.4606,1.0041,8345.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",238,0.4496,8100.0,389.54,-256.34,1.241,2.623,0.8386,8345.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",238,0.4328,2145.0,317.13,-226.07,1.07,0.9355,0.8371,7571.5
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",706,0.4348,5997.0,288.76,-207.15,1.073,0.918,0.7707,11022.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 1.5, ""hold_bars"": 5}",10589,0.4569,155139.5,407.74,-316.03,1.085,1.371,0.77,48028.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 2, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 8}",489,0.4008,3512.5,391.22,-249.72,1.048,0.7414,0.7487,13682.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 5}",235,0.4298,1837.5,319.04,-226.76,1.06,0.7892,0.7206,7647.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 10}",861,0.482,15557.0,408.06,-344.82,1.101,0.9817,0.6431,11245.5
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1017,0.4218,17034.5,529.96,-357.68,1.081,0.8135,0.6344,29571.5
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 5}",861,0.4739,9693.5,376.89,-318.05,1.067,0.671,0.6283,9659.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",882,0.4195,15518.0,522.39,-347.2,1.087,0.8581,0.6276,22560.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3691,0.4625,62682.5,576.81,-464.69,1.068,0.7513,0.622,44103.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2439,0.4649,72593.0,616.29,-479.91,1.116,1.1592,0.5869,27910.5
CVD_Slope_Regime,GC,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 15}",2789,0.4521,26515.0,464.99,-366.38,1.047,0.6447,0.5746,27249.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",238,0.4706,1284.0,269.71,-229.56,1.044,0.5958,0.5649,6886.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",3691,0.4619,78056.5,609.22,-483.72,1.081,0.8671,0.5578,47866.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 10}",806,0.4826,9450.5,407.28,-357.26,1.063,0.6491,0.546,13697.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 5}",806,0.4752,6961.0,376.56,-324.5,1.051,0.5412,0.5404,12962.5
CVD_Slope_Regime,GC,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2789,0.4564,40230.0,450.35,-351.62,1.075,0.9744,0.5193,20890.5
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",882,0.4376,20689.0,459.13,-315.6,1.132,1.1936,0.5044,15365.0
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 5}",970,0.4289,6821.0,289.21,-204.86,1.06,0.6689,0.5034,20759.5
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3596,0.4583,51594.0,430.24,-337.5,1.078,1.7199,0.4803,15477.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 1.5, ""hold_bars"": 5}",235,0.4681,1074.0,271.5,-230.32,1.037,0.4946,0.4654,6886.5
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",987,0.4286,21230.5,513.28,-347.32,1.108,1.1766,0.4517,25313.0
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 5}",7151,0.4418,76522.5,529.19,-399.6,1.048,0.7073,0.4455,57467.5
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2439,0.4621,79482.5,650.94,-498.57,1.122,1.1982,0.4416,31280.5
