strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4874,0.4331,69750.0,250.77,-166.35,1.152,1.7242,0.766,27606.5
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",4874,0.4206,70560.0,289.71,-185.32,1.135,1.5015,0.7278,33517.0
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1386,0.4394,12896.0,259.59,-186.86,1.089,0.928,0.7181,11687.5
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2191,0.4254,23842.5,233.6,-153.99,1.123,1.1421,0.6761,16254.0
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2191,0.4103,22922.5,273.19,-172.35,1.103,0.9956,0.6718,17751.0
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",9603,0.4026,131359.5,345.05,-209.62,1.109,1.7967,0.658,29623.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",511,0.3933,4714.5,275.5,-163.42,1.093,0.8454,0.6147,8878.0
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1386,0.4437,12793.0,229.56,-166.52,1.1,1.0231,0.6017,11768.0
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 2.0, ""hold_bars"": 8}",505,0.3941,4545.5,275.5,-164.31,1.09,0.8125,0.5983,8861.5
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3866,0.41,89533.0,363.54,-213.36,1.184,2.1523,0.5818,20120.0
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",5988,0.404,123084.0,363.34,-211.78,1.163,2.2805,0.5599,18062.0
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",5988,0.4038,90541.0,325.95,-195.41,1.13,1.7775,0.5579,17293.0
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",3866,0.4123,66739.0,323.62,-197.67,1.149,1.7487,0.5538,15838.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 5}",27134,0.4159,410727.0,322.42,-203.69,1.127,1.6312,0.5258,65103.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2187,0.4358,41908.5,296.86,-195.3,1.174,1.5081,0.5247,12227.5
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 12}",6405,0.4231,255886.5,546.73,-331.73,1.209,1.8203,0.5117,25960.0
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 12}",9883,0.4191,326867.5,514.63,-314.36,1.181,1.7735,0.5009,43041.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",6405,0.4269,244807.5,513.39,-315.67,1.211,1.8362,0.5,23874.0
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 10}",33161,0.4075,552765.5,359.32,-218.96,1.128,1.4654,0.4978,74520.0
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9603,0.4061,109058.5,311.96,-194.21,1.098,1.5225,0.4915,29679.0
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2408,0.4252,57499.0,343.44,-212.56,1.195,1.6895,0.4837,17950.0
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2187,0.4271,54526.5,342.3,-211.64,1.206,1.7363,0.4767,12227.5
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2349,0.43,62490.5,338.0,-208.29,1.224,1.8022,0.4715,10291.0
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",9883,0.4218,300454.5,482.91,-299.75,1.175,1.7486,0.4706,38854.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2349,0.4364,44664.5,291.86,-192.21,1.176,1.4132,0.46,10197.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",23151,0.4546,263181.85,339.06,-261.75,1.08,0.9099,0.4598,165873.0
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2408,0.4327,42736.0,297.97,-196.01,1.16,1.32,0.4595,13614.5
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 10}",25707,0.4121,542299.5,371.3,-224.43,1.16,1.6786,0.4491,62236.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 10}",27134,0.4087,512481.0,371.85,-225.12,1.142,1.6281,0.4468,66153.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",14593,0.4603,267042.0,374.72,-285.68,1.119,1.2024,0.4433,64538.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",18118,0.4557,226782.35,352.29,-271.98,1.085,0.8917,0.4418,116768.5
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 5}",25707,0.4191,452740.5,322.53,-202.42,1.15,1.7541,0.4392,46861.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",24034,0.4539,261710.85,340.67,-263.21,1.076,0.8342,0.4392,178353.0
OFI_Continuation,GC,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2717,0.4122,29367.5,325.91,-210.18,1.087,0.8325,0.4323,25313.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",23151,0.4348,841509.85,421.53,-259.97,1.247,2.4622,0.4312,51627.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",27104,0.4537,279870.35,329.99,-255.15,1.074,0.8534,0.429,204633.5
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",6405,0.4564,79342.5,425.92,-334.75,1.068,0.6362,0.4257,31280.5
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",33161,0.414,427989.5,312.27,-198.54,1.111,1.3967,0.425,71676.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",17333,0.4569,294289.97,369.99,-279.97,1.112,1.1141,0.4247,105152.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",19463,0.4571,309989.69,364.38,-277.42,1.106,1.0858,0.4239,118128.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",24034,0.4357,855427.02,420.55,-261.66,1.241,2.3387,0.4186,50734.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",21446,0.4544,244973.85,345.57,-266.87,1.078,0.8302,0.4169,160965.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",21446,0.4358,780648.02,427.12,-265.44,1.243,2.2832,0.415,54463.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",27104,0.4343,936823.02,409.7,-253.42,1.241,2.4288,0.4142,61692.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",30312,0.4536,298688.85,322.99,-250.12,1.072,0.8459,0.4137,223167.5
