strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",35,0.3714,1865.0,710.12,-334.84,1.253,1.3816,1.4088,6053.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",87,0.4253,8503.5,671.58,-326.9,1.52,2.4944,1.3249,3316.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",88,0.4432,4841.5,525.92,-319.78,1.309,1.799,1.3122,3494.75
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",170,0.4,6325.0,549.1,-304.06,1.204,1.1579,1.1087,5279.0
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",168,0.3869,10611.5,675.19,-323.07,1.319,1.6886,1.0135,4191.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",89,0.3708,1747.0,581.41,-311.42,1.1,0.5993,0.739,3415.0
CVD_Slope_Regime,SI,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",2194,0.4038,118057.0,837.03,-476.72,1.189,1.2138,0.5938,41108.5
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 10}",848,0.3974,57489.0,1792.27,-1069.48,1.105,0.8451,0.5752,40605.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",388,0.3531,12354.0,780.83,-376.97,1.131,0.6446,0.5593,18825.5
CVD_Slope_Regime,SI,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2271,0.4038,96348.0,757.32,-441.74,1.161,1.0664,0.5555,39949.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",991,0.4289,59340.5,1535.98,-1048.5,1.1,0.7622,0.5146,51060.5
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",4386,0.3999,130693.0,754.53,-453.17,1.11,0.8597,0.5112,48753.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 10}",951,0.4017,85013.0,1843.9,-1088.5,1.137,1.0619,0.5039,46324.0
CVD_Acceleration,SI,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2233,0.3963,52576.5,671.14,-401.62,1.097,0.6079,0.4799,37828.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",2102,0.3463,31291.0,789.36,-395.46,1.058,0.4879,0.4789,41107.0
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",2102,0.3463,31291.0,789.36,-395.46,1.058,0.4879,0.4789,41107.0
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",4591,0.3982,132138.0,733.61,-437.53,1.109,0.8751,0.4742,51155.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",5974,0.3868,97877.0,717.9,-426.21,1.063,0.5678,0.4722,80672.5
CVD_Acceleration,SI,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2292,0.3909,106401.0,663.47,-349.62,1.218,1.2931,0.4603,37936.0
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",35,0.3714,492.5,571.27,-315.18,1.071,0.3905,0.4571,5798.0
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4954,0.3926,91407.0,647.96,-388.46,1.078,0.6246,0.4452,59009.0
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1485,0.3946,76540.0,1432.91,-848.88,1.1,0.7903,0.4417,62087.0
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",945,0.4307,61997.5,1386.88,-933.95,1.123,0.8409,0.4408,58116.0
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",927,0.4142,133971.0,1657.28,-925.28,1.267,1.7093,0.4357,34879.5
OFI_Microprice,SI,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",4477,0.3971,179601.0,794.92,-457.12,1.146,1.1156,0.4338,63674.5
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",879,0.4278,52030.75,1548.0,-1053.71,1.098,0.6875,0.4327,61592.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",2237,0.3518,30411.0,675.88,-345.86,1.061,0.4861,0.4139,37273.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",2237,0.3518,30411.0,675.88,-345.86,1.061,0.4861,0.4139,37273.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",5669,0.3837,87624.5,724.38,-425.85,1.059,0.4778,0.4123,95551.0
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2871,0.4173,187113.0,917.67,-545.28,1.205,1.4558,0.4085,27697.5
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3370,0.392,98741.79,754.4,-438.17,1.11,0.8286,0.4083,29630.0
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2303,0.4294,182319.0,953.57,-578.97,1.24,1.7122,0.4081,30325.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",3535,0.4388,136783.75,750.59,-517.83,1.133,1.0264,0.4067,45569.75
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2566,0.4123,157313.0,1042.04,-626.76,1.166,1.2413,0.4056,32465.0
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 12}",1693,0.4141,66729.0,1025.09,-657.11,1.102,0.6007,0.4052,52829.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2968,0.4343,88087.75,771.62,-539.92,1.097,0.7376,0.4023,54031.0
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1314,0.3866,53054.5,1447.69,-846.61,1.078,0.6144,0.4001,61033.0
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",5158,0.3922,143469.0,645.78,-370.95,1.123,0.9441,0.3973,62589.0
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",3227,0.3895,73025.29,800.97,-474.01,1.078,0.606,0.3967,33024.0
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",3042,0.4172,255343.5,1017.15,-583.99,1.247,1.745,0.3937,26259.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2057,0.4244,178323.5,1097.89,-658.9,1.229,1.5768,0.3884,31663.0
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1448,0.3964,114119.0,1331.83,-744.11,1.175,1.1671,0.3853,44003.0
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",1066,0.4306,64296.75,1387.6,-943.35,1.112,0.7968,0.3847,52433.0
CVD_Acceleration,SI,"{""accel_std"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2336,0.4088,39031.75,543.27,-347.42,1.081,0.4957,0.3846,71982.5
