strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",54,0.2778,1944.5,868.83,-284.31,1.175,1.4855,1.4772,5675.0
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 5}",235,0.4383,8540.0,527.99,-347.29,1.186,1.2832,0.817,9811.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",144,0.4236,5659.5,550.23,-336.2,1.203,1.5748,0.7619,10200.75
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 10}",235,0.4426,9153.75,567.5,-380.65,1.184,1.2853,0.7434,12214.75
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",144,0.3611,6427.0,655.31,-300.53,1.232,1.8062,0.6484,8900.0
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",508,0.3957,23266.5,1123.11,-659.54,1.115,0.7055,0.5512,27762.0
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1340,0.4067,70215.0,1797.8,-1144.14,1.077,0.6974,0.5404,106310.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",1891,0.4331,77564.25,1810.09,-1310.54,1.055,0.6446,0.5264,117331.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2584,0.4423,147093.25,1271.52,-906.49,1.113,1.056,0.5088,76465.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2780,0.4478,155401.25,1229.07,-895.63,1.113,1.0792,0.4945,73508.75
