strategy,symbol,params,stress_dsr,stress_pnl,stress_wr,stress_trades
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-0.1877,-5251.75,0.3576,509
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.3181,-8696.0,0.3701,508
OFI_Continuation,SI,"{""ofi_pct"": 93, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",-0.3342,-10796.0,0.3661,508
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.6061,-14547.5,0.3839,620
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.4494,-1540.5,0.4028,144
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-0.5039,-3210.0,0.4085,235
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.3867,-2596.25,0.4213,235
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-1.036,-217338.0,0.355,5994
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",-1.0082,-212036.75,0.3649,5994
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",-0.7887,-164474.25,0.37,5994
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-0.4329,-58285.5,0.4139,2614
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.0838,-11514.25,0.4143,2614
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-0.1519,-16985.75,0.4268,1891
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",0.2073,31843.0,0.4278,1891
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.3445,-44781.75,0.4125,2029
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 5}",-0.3311,-32319.75,0.4286,1463
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",-0.0768,-7618.5,0.4238,1463
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",0.0199,3215.0,0.3993,1340
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",-0.0197,-538.0,0.4076,969
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",-0.6537,-54692.25,0.373,2193
CVD_Slope_Regime,SI,"{""slope_window"": 5, ""slope_thr"": 0.0, ""rr_ratio"": 1.5, ""hold_bars"": 15}",-0.8783,-73426.0,0.3794,2193
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",-0.2423,-28641.0,0.426,1953
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",-0.1353,-15519.75,0.426,1953
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",-0.1098,-11983.0,0.4276,1824
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",-0.0354,-3129.25,0.4293,1824
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",0.1026,16401.25,0.4248,2780
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",0.1375,22133.75,0.4219,2780
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",0.1168,17893.25,0.4214,2584
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",0.2206,34214.5,0.4218,2584
