strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",75,0.4,9255.0,718.83,-273.56,1.752,4.5369,1.2932,5675.0
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",75,0.3733,6762.5,771.04,-315.46,1.456,2.885,1.2878,8518.0
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",75,0.4533,6033.75,517.82,-282.24,1.521,3.7846,1.23,4982.5
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",75,0.4533,4688.75,535.39,-329.62,1.347,2.4798,1.0292,6480.5
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",401,0.404,20740.5,580.56,-306.74,1.283,1.6038,1.0048,11069.5
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",204,0.3922,7674.5,553.0,-294.88,1.21,1.5016,1.0009,9315.5
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",401,0.3965,24468.0,652.45,-327.57,1.309,1.6991,0.9349,12736.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",204,0.3971,10052.0,614.39,-322.87,1.253,1.5683,0.9239,12927.0
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",982,0.3707,30891.0,694.57,-359.11,1.139,0.8442,0.8782,37655.5
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",204,0.4314,5113.25,477.86,-318.43,1.138,1.0197,0.7818,10200.75
Sweep_Continuation,SI,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 1.5, ""hold_bars"": 10}",401,0.4439,6630.5,461.36,-338.53,1.088,0.5916,0.6887,12214.75
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",3465,0.3798,62907.5,690.26,-393.43,1.074,0.6467,0.594,85222.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",3465,0.3798,62907.5,690.26,-393.43,1.074,0.6467,0.594,85222.5
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",2598,0.3861,40421.5,715.06,-424.32,1.06,0.4856,0.513,66460.5
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",2598,0.3861,40421.5,715.06,-424.32,1.06,0.4856,0.513,66460.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 12}",6645,0.4087,455322.5,1058.21,-615.62,1.188,1.5026,0.5129,59347.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",7197,0.4106,463851.0,1033.47,-610.57,1.179,1.4499,0.5123,71509.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",6645,0.4143,419717.5,985.71,-589.4,1.183,1.4776,0.5027,67985.5
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",7197,0.4167,438646.0,965.37,-585.16,1.179,1.4566,0.4891,64172.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2937,0.4168,319961.0,1625.25,-974.51,1.192,1.594,0.4771,94060.5
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1021,0.3888,22840.5,648.26,-375.83,1.097,0.4708,0.4364,24582.5
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",5054,0.4112,334842.0,1080.49,-641.94,1.175,1.2776,0.4341,65704.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",22554,0.3942,618349.5,686.71,-401.61,1.113,1.1064,0.4321,362253.5
CVD_Slope_Regime,SI,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3587,0.4081,174423.5,772.55,-450.58,1.182,1.4118,0.4285,40295.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",3465,0.3504,142598.75,842.69,-391.13,1.162,1.1421,0.4248,62457.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",3465,0.3504,142598.75,842.69,-391.13,1.162,1.1421,0.4248,62457.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",3465,0.3743,60270.0,619.84,-343.02,1.081,0.6635,0.4229,85300.5
CVD_Absorption,SI,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",3465,0.3743,60270.0,619.84,-343.02,1.081,0.6635,0.4229,85300.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",28830,0.389,471327.5,668.53,-398.94,1.067,0.7507,0.4217,500989.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",28760,0.3925,640490.0,689.98,-409.11,1.09,0.9409,0.4209,335043.5
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 12}",4696,0.411,340340.5,1097.97,-643.08,1.191,1.3647,0.4199,63874.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",4710,0.4036,336845.0,1292.34,-754.68,1.159,1.3107,0.4127,97157.5
CVD_Slope_Regime,SI,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",3587,0.4056,218178.5,842.25,-472.46,1.217,1.5772,0.4121,44935.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",28760,0.3937,604762.5,655.57,-390.96,1.089,0.9335,0.4096,318535.5
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2317,0.4221,226913.5,1554.03,-965.59,1.176,1.4008,0.4092,78957.0
