======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

[GC] Running 16 strategy classes ...
  OFI_Continuation                    GC  trades=2809  dsr=-0.832  pnl=$ -31,545
  OFI_Continuation                    GC  trades=2809  dsr=-0.959  pnl=$ -35,562
  OFI_Continuation                    GC  trades=2809  dsr=+0.094  pnl=$  19,380
  OFI_Continuation                    GC  trades=2809  dsr=+0.509  pnl=$  26,544
  OFI_Continuation                    GC  trades=2408  dsr=-0.168  pnl=$  -4,624
  OFI_Continuation                    GC  trades=2408  dsr=+0.135  pnl=$   4,702
  OFI_Continuation                    GC  trades=2408  dsr=+0.036  pnl=$  42,736
  OFI_Continuation                    GC  trades=2408  dsr=-0.007  pnl=$  57,499
  OFI_Continuation                    GC  trades=2717  dsr=-0.973  pnl=$ -31,372
  OFI_Continuation                    GC  trades=2717  dsr=-0.804  pnl=$ -26,594
  OFI_Continuation                    GC  trades=2717  dsr=+0.331  pnl=$  16,220
  OFI_Continuation                    GC  trades=2717  dsr=+0.485  pnl=$  29,368
  OFI_Continuation                    GC  trades=2349  dsr=-0.059  pnl=$  -1,393
  OFI_Continuation                    GC  trades=2349  dsr=+0.234  pnl=$   7,455
  OFI_Continuation                    GC  trades=2349  dsr=-0.007  pnl=$  44,664
  OFI_Continuation                    GC  trades=2349  dsr=-0.007  pnl=$  62,490
  OFI_Continuation                    GC  trades=2384  dsr=-1.079  pnl=$ -29,631
  OFI_Continuation                    GC  trades=2384  dsr=-1.056  pnl=$ -32,576
  OFI_Continuation                    GC  trades=2384  dsr=+0.403  pnl=$  15,806
  OFI_Continuation                    GC  trades=2384  dsr=+0.434  pnl=$  17,478
  OFI_Continuation                    GC  trades=2187  dsr=-0.049  pnl=$  -1,000
  OFI_Continuation                    GC  trades=2187  dsr=+0.094  pnl=$   2,781
  OFI_Continuation                    GC  trades=2187  dsr=+0.351  pnl=$  41,908
  OFI_Continuation                    GC  trades=2187  dsr=-0.008  pnl=$  54,526
  OFI_Reversal                        GC  trades=25226  dsr=-0.145  pnl=$ -33,090
  OFI_Reversal                        GC  trades=25226  dsr=-0.110  pnl=$ -27,588
  OFI_Reversal                        GC  trades=25226  dsr=-0.005  pnl=$ 483,704
  OFI_Reversal                        GC  trades=25226  dsr=-0.005  pnl=$ 543,309
  OFI_Reversal                        GC  trades=25939  dsr=-0.159  pnl=$ -37,226
  OFI_Reversal                        GC  trades=25939  dsr=-0.104  pnl=$ -26,581
  OFI_Reversal                        GC  trades=25939  dsr=-0.005  pnl=$ 490,402
  OFI_Reversal                        GC  trades=25939  dsr=-0.005  pnl=$ 553,856
  OFI_Reversal                        GC  trades=20834  dsr=-0.452  pnl=$ -91,522
  OFI_Reversal                        GC  trades=20834  dsr=-0.396  pnl=$ -88,389
  OFI_Reversal                        GC  trades=20834  dsr=-0.005  pnl=$ 333,470
  OFI_Reversal                        GC  trades=20834  dsr=-0.005  pnl=$ 386,257
  OFI_Reversal                        GC  trades=21384  dsr=-0.465  pnl=$ -96,491
  OFI_Reversal                        GC  trades=21384  dsr=-0.399  pnl=$ -90,878
  OFI_Reversal                        GC  trades=21384  dsr=-0.005  pnl=$ 336,845
  OFI_Reversal                        GC  trades=21384  dsr=-0.005  pnl=$ 392,665
  OFI_Reversal                        GC  trades=13625  dsr=-0.863  pnl=$-132,553
  OFI_Reversal                        GC  trades=13625  dsr=-0.847  pnl=$-146,403
  OFI_Reversal                        GC  trades=13625  dsr=-0.006  pnl=$ 133,768
  OFI_Reversal                        GC  trades=13625  dsr=-0.006  pnl=$ 149,276
  OFI_Reversal                        GC  trades=13951  dsr=-0.854  pnl=$-134,258
  OFI_Reversal                        GC  trades=13951  dsr=-0.835  pnl=$-146,964
  OFI_Reversal                        GC  trades=13951  dsr=-0.006  pnl=$ 135,492
  OFI_Reversal                        GC  trades=13951  dsr=-0.006  pnl=$ 152,068
  OFI_Microprice                      GC  trades=33604  dsr=-0.330  pnl=$ -93,816
  OFI_Microprice                      GC  trades=33604  dsr=-0.238  pnl=$ -75,468
  OFI_Microprice                      GC  trades=33604  dsr=-0.005  pnl=$ 554,416
  OFI_Microprice                      GC  trades=33604  dsr=-0.005  pnl=$ 651,946
  OFI_Microprice                      GC  trades=27940  dsr=+0.114  pnl=$  31,494
  OFI_Microprice                      GC  trades=27940  dsr=+0.188  pnl=$  60,100
  OFI_Microprice                      GC  trades=27940  dsr=-0.005  pnl=$ 598,260
  OFI_Microprice                      GC  trades=27940  dsr=-0.005  pnl=$ 699,353
  OFI_Microprice                      GC  trades=27938  dsr=-0.396  pnl=$-103,122
  OFI_Microprice                      GC  trades=27938  dsr=-0.255  pnl=$ -74,667
  OFI_Microprice                      GC  trades=27938  dsr=-0.005  pnl=$ 483,818
  OFI_Microprice                      GC  trades=27938  dsr=-0.005  pnl=$ 574,950
  OFI_Microprice                      GC  trades=23323  dsr=+0.121  pnl=$  30,066
  OFI_Microprice                      GC  trades=23323  dsr=+0.177  pnl=$  52,002
  OFI_Microprice                      GC  trades=23323  dsr=-0.005  pnl=$ 538,840
  OFI_Microprice                      GC  trades=23323  dsr=-0.005  pnl=$ 615,274
  OFI_Microprice                      GC  trades=21256  dsr=-0.283  pnl=$ -65,491
  OFI_Microprice                      GC  trades=21256  dsr=-0.076  pnl=$ -19,283
  OFI_Microprice                      GC  trades=21256  dsr=-0.005  pnl=$ 399,633
  OFI_Microprice                      GC  trades=21256  dsr=-0.005  pnl=$ 514,200
  OFI_Microprice                      GC  trades=17799  dsr=+0.166  pnl=$  36,799
  OFI_Microprice                      GC  trades=17799  dsr=+0.229  pnl=$  63,534
  OFI_Microprice                      GC  trades=17799  dsr=-0.005  pnl=$ 439,864
  OFI_Microprice                      GC  trades=17799  dsr=-0.005  pnl=$ 523,596
  Sweep_Continuation                  GC  trades=4874  dsr=-0.272  pnl=$  -8,870
  Sweep_Continuation                  GC  trades=4874  dsr=-0.428  pnl=$ -16,824
  Sweep_Continuation                  GC  trades=4874  dsr=-0.009  pnl=$  69,750
  Sweep_Continuation                  GC  trades=4874  dsr=+0.050  pnl=$  70,560
  Sweep_Continuation                  GC  trades=1386  dsr=-0.635  pnl=$  -7,022
  Sweep_Continuation                  GC  trades=1386  dsr=-0.913  pnl=$ -11,682
  Sweep_Continuation                  GC  trades=1386  dsr=+0.887  pnl=$  12,793
  Sweep_Continuation                  GC  trades=1386  dsr=+0.893  pnl=$  12,896
  Sweep_Continuation                  GC  trades=2191  dsr=-0.300  pnl=$  -5,320
  Sweep_Continuation                  GC  trades=2191  dsr=-0.723  pnl=$ -13,539
  Sweep_Continuation                  GC  trades=2191  dsr=+0.270  pnl=$  23,842
  Sweep_Continuation                  GC  trades=2191  dsr=+0.376  pnl=$  22,922
  Sweep_Continuation                  GC  trades= 407  dsr=-2.351  pnl=$  -9,756
  Sweep_Continuation                  GC  trades= 407  dsr=-3.475  pnl=$ -11,836
  Sweep_Continuation                  GC  trades= 407  dsr=-0.978  pnl=$  -4,298
  Sweep_Continuation                  GC  trades= 407  dsr=-1.732  pnl=$  -6,360
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.413  pnl=$  -5,076
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.321  pnl=$  -3,880
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.017  pnl=$     -20
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=+0.158  pnl=$   2,332
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-1.171  pnl=$ -10,544
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-1.015  pnl=$  -9,294
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.974  pnl=$  -7,706
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.630  pnl=$  -5,302
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.773  pnl=$  -3,186
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.305  pnl=$   2,592
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.310  pnl=$  -1,296
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.674  pnl=$   4,714
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.785  pnl=$  -3,246
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.299  pnl=$   2,522
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.342  pnl=$  -1,454
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.660  pnl=$   4,546
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-1.396  pnl=$    -978
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.953  pnl=$    -662
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-1.690  pnl=$  -1,188
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.040  pnl=$      60
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.656  pnl=$     502
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.098  pnl=$     -48
