======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

[GC] Running 16 strategy classes ...
  OFI_Continuation                    GC  trades=2809  dsr=-0.297  pnl=$ -31,545
  OFI_Continuation                    GC  trades=2809  dsr=-0.421  pnl=$ -35,562
  OFI_Continuation                    GC  trades=2809  dsr=+0.253  pnl=$  19,380
  OFI_Continuation                    GC  trades=2809  dsr=+0.373  pnl=$  26,544
  OFI_Continuation                    GC  trades=2408  dsr=-0.175  pnl=$  -4,624
  OFI_Continuation                    GC  trades=2408  dsr=+0.130  pnl=$   4,702
  OFI_Continuation                    GC  trades=2408  dsr=+0.460  pnl=$  42,736
  OFI_Continuation                    GC  trades=2408  dsr=+0.484  pnl=$  57,499
  OFI_Continuation                    GC  trades=2717  dsr=-0.459  pnl=$ -31,372
  OFI_Continuation                    GC  trades=2717  dsr=-0.436  pnl=$ -26,594
  OFI_Continuation                    GC  trades=2717  dsr=+0.292  pnl=$  16,220
  OFI_Continuation                    GC  trades=2717  dsr=+0.432  pnl=$  29,368
  OFI_Continuation                    GC  trades=2349  dsr=-0.060  pnl=$  -1,393
  OFI_Continuation                    GC  trades=2349  dsr=+0.219  pnl=$   7,455
  OFI_Continuation                    GC  trades=2349  dsr=+0.460  pnl=$  44,664
  OFI_Continuation                    GC  trades=2349  dsr=+0.471  pnl=$  62,490
  OFI_Continuation                    GC  trades=2384  dsr=-0.495  pnl=$ -29,631
  OFI_Continuation                    GC  trades=2384  dsr=-0.440  pnl=$ -32,576
  OFI_Continuation                    GC  trades=2384  dsr=+0.335  pnl=$  15,806
  OFI_Continuation                    GC  trades=2384  dsr=+0.365  pnl=$  17,478
  OFI_Continuation                    GC  trades=2187  dsr=-0.050  pnl=$  -1,000
  OFI_Continuation                    GC  trades=2187  dsr=+0.093  pnl=$   2,781
  OFI_Continuation                    GC  trades=2187  dsr=+0.525  pnl=$  41,908
  OFI_Continuation                    GC  trades=2187  dsr=+0.477  pnl=$  54,526
  OFI_Reversal                        GC  trades=25226  dsr=-0.114  pnl=$ -33,090
  OFI_Reversal                        GC  trades=25226  dsr=-0.092  pnl=$ -27,588
  OFI_Reversal                        GC  trades=25226  dsr=+0.280  pnl=$ 483,704
  OFI_Reversal                        GC  trades=25226  dsr=+0.237  pnl=$ 543,309
  OFI_Reversal                        GC  trades=25939  dsr=-0.120  pnl=$ -37,226
  OFI_Reversal                        GC  trades=25939  dsr=-0.088  pnl=$ -26,581
  OFI_Reversal                        GC  trades=25939  dsr=+0.280  pnl=$ 490,402
  OFI_Reversal                        GC  trades=25939  dsr=+0.242  pnl=$ 553,856
  OFI_Reversal                        GC  trades=20834  dsr=-0.226  pnl=$ -91,522
  OFI_Reversal                        GC  trades=20834  dsr=-0.221  pnl=$ -88,389
  OFI_Reversal                        GC  trades=20834  dsr=+0.309  pnl=$ 333,470
  OFI_Reversal                        GC  trades=20834  dsr=+0.361  pnl=$ 386,257
  OFI_Reversal                        GC  trades=21384  dsr=-0.223  pnl=$ -96,491
  OFI_Reversal                        GC  trades=21384  dsr=-0.219  pnl=$ -90,878
  OFI_Reversal                        GC  trades=21384  dsr=+0.301  pnl=$ 336,845
  OFI_Reversal                        GC  trades=21384  dsr=+0.358  pnl=$ 392,665
  OFI_Reversal                        GC  trades=13625  dsr=-0.203  pnl=$-132,553
  OFI_Reversal                        GC  trades=13625  dsr=-0.205  pnl=$-146,403
  OFI_Reversal                        GC  trades=13625  dsr=+0.250  pnl=$ 133,768
  OFI_Reversal                        GC  trades=13625  dsr=+0.277  pnl=$ 149,276
  OFI_Reversal                        GC  trades=13951  dsr=-0.201  pnl=$-134,258
  OFI_Reversal                        GC  trades=13951  dsr=-0.203  pnl=$-146,964
  OFI_Reversal                        GC  trades=13951  dsr=+0.250  pnl=$ 135,492
  OFI_Reversal                        GC  trades=13951  dsr=+0.277  pnl=$ 152,068
  OFI_Microprice                      GC  trades=33604  dsr=-0.193  pnl=$ -93,816
  OFI_Microprice                      GC  trades=33604  dsr=-0.171  pnl=$ -75,468
  OFI_Microprice                      GC  trades=33604  dsr=+0.307  pnl=$ 554,416
  OFI_Microprice                      GC  trades=33604  dsr=+0.324  pnl=$ 651,946
  OFI_Microprice                      GC  trades=27940  dsr=+0.129  pnl=$  31,494
  OFI_Microprice                      GC  trades=27940  dsr=+0.209  pnl=$  60,100
  OFI_Microprice                      GC  trades=27940  dsr=+0.338  pnl=$ 598,260
  OFI_Microprice                      GC  trades=27940  dsr=+0.328  pnl=$ 699,353
  OFI_Microprice                      GC  trades=27938  dsr=-0.228  pnl=$-103,122
  OFI_Microprice                      GC  trades=27938  dsr=-0.180  pnl=$ -74,667
  OFI_Microprice                      GC  trades=27938  dsr=+0.376  pnl=$ 483,818
  OFI_Microprice                      GC  trades=27938  dsr=+0.347  pnl=$ 574,950
  OFI_Microprice                      GC  trades=23323  dsr=+0.134  pnl=$  30,066
  OFI_Microprice                      GC  trades=23323  dsr=+0.201  pnl=$  52,002
  OFI_Microprice                      GC  trades=23323  dsr=+0.387  pnl=$ 538,840
  OFI_Microprice                      GC  trades=23323  dsr=+0.331  pnl=$ 615,274
  OFI_Microprice                      GC  trades=21256  dsr=-0.210  pnl=$ -65,491
  OFI_Microprice                      GC  trades=21256  dsr=-0.071  pnl=$ -19,283
  OFI_Microprice                      GC  trades=21256  dsr=+0.402  pnl=$ 399,633
  OFI_Microprice                      GC  trades=21256  dsr=+0.348  pnl=$ 514,200
  OFI_Microprice                      GC  trades=17799  dsr=+0.187  pnl=$  36,799
  OFI_Microprice                      GC  trades=17799  dsr=+0.254  pnl=$  63,534
  OFI_Microprice                      GC  trades=17799  dsr=+0.388  pnl=$ 439,864
  OFI_Microprice                      GC  trades=17799  dsr=+0.306  pnl=$ 523,596
  Sweep_Continuation                  GC  trades=4874  dsr=-0.239  pnl=$  -8,870
  Sweep_Continuation                  GC  trades=4874  dsr=-0.340  pnl=$ -16,824
  Sweep_Continuation                  GC  trades=4874  dsr=+0.766  pnl=$  69,750
  Sweep_Continuation                  GC  trades=4874  dsr=+0.728  pnl=$  70,560
  Sweep_Continuation                  GC  trades=1386  dsr=-0.528  pnl=$  -7,022
  Sweep_Continuation                  GC  trades=1386  dsr=-0.716  pnl=$ -11,682
  Sweep_Continuation                  GC  trades=1386  dsr=+0.602  pnl=$  12,793
  Sweep_Continuation                  GC  trades=1386  dsr=+0.718  pnl=$  12,896
  Sweep_Continuation                  GC  trades=2191  dsr=-0.240  pnl=$  -5,320
  Sweep_Continuation                  GC  trades=2191  dsr=-0.432  pnl=$ -13,539
  Sweep_Continuation                  GC  trades=2191  dsr=+0.676  pnl=$  23,842
  Sweep_Continuation                  GC  trades=2191  dsr=+0.672  pnl=$  22,922
  Sweep_Continuation                  GC  trades= 407  dsr=-0.516  pnl=$  -9,756
  Sweep_Continuation                  GC  trades= 407  dsr=-0.892  pnl=$ -11,836
  Sweep_Continuation                  GC  trades= 407  dsr=-0.469  pnl=$  -4,298
  Sweep_Continuation                  GC  trades= 407  dsr=-0.833  pnl=$  -6,360
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.167  pnl=$  -5,076
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.163  pnl=$  -3,880
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=-0.017  pnl=$     -20
  Sweep_Absorption_Reversal           GC  trades=1051  dsr=+0.228  pnl=$   2,332
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.355  pnl=$ -10,544
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.419  pnl=$  -9,294
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.675  pnl=$  -7,706
  Sweep_Absorption_Reversal           GC  trades=1037  dsr=-0.590  pnl=$  -5,302
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.647  pnl=$  -3,186
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.376  pnl=$   2,592
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=-0.299  pnl=$  -1,296
  Sweep_Absorption_Reversal           GC  trades= 511  dsr=+0.615  pnl=$   4,714
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.657  pnl=$  -3,246
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.371  pnl=$   2,522
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=-0.330  pnl=$  -1,454
  Sweep_Absorption_Reversal           GC  trades= 505  dsr=+0.598  pnl=$   4,546
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.722  pnl=$    -978
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.788  pnl=$    -662
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.708  pnl=$  -1,188
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.033  pnl=$      60
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.312  pnl=$     502
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.101  pnl=$     -48
