======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] Quick mode: 28,374 bars from 2024
[GC] 28,374 bars ready. L2 cols present: 17/17

[GC] Running 16 strategy classes ...
  OFI_Continuation                    GC  trades=1017  dsr=-0.012  pnl=$  -5,446
  OFI_Continuation                    GC  trades=1017  dsr=-0.012  pnl=$ -15,012
  OFI_Continuation                    GC  trades=1017  dsr=-0.012  pnl=$  28,546
  OFI_Continuation                    GC  trades=1017  dsr=+0.802  pnl=$  21,611
  OFI_Continuation                    GC  trades= 869  dsr=+0.664  pnl=$  10,081
  OFI_Continuation                    GC  trades= 869  dsr=+0.587  pnl=$  11,866
  OFI_Continuation                    GC  trades= 869  dsr=-0.012  pnl=$  42,170
  OFI_Continuation                    GC  trades= 869  dsr=-0.012  pnl=$  43,369
  OFI_Continuation                    GC  trades= 987  dsr=-0.012  pnl=$  -7,668
  OFI_Continuation                    GC  trades= 987  dsr=-0.012  pnl=$  -6,960
  OFI_Continuation                    GC  trades= 987  dsr=+0.216  pnl=$  24,657
  OFI_Continuation                    GC  trades= 987  dsr=+0.522  pnl=$  25,672
  OFI_Continuation                    GC  trades= 861  dsr=+0.921  pnl=$  13,568
  OFI_Continuation                    GC  trades= 861  dsr=+0.807  pnl=$  19,432
  OFI_Continuation                    GC  trades= 861  dsr=-0.012  pnl=$  44,967
  OFI_Continuation                    GC  trades= 861  dsr=-0.012  pnl=$  52,545
  OFI_Continuation                    GC  trades= 882  dsr=-0.012  pnl=$  -6,706
  OFI_Continuation                    GC  trades= 882  dsr=-0.012  pnl=$ -10,486
  OFI_Continuation                    GC  trades= 882  dsr=+0.617  pnl=$  24,658
  OFI_Continuation                    GC  trades= 882  dsr=+0.796  pnl=$  19,487
  OFI_Continuation                    GC  trades= 806  dsr=+0.866  pnl=$  10,588
  OFI_Continuation                    GC  trades= 806  dsr=+0.734  pnl=$  13,078
  OFI_Continuation                    GC  trades= 806  dsr=+1.027  pnl=$  36,307
  OFI_Continuation                    GC  trades= 806  dsr=-0.013  pnl=$  40,736
  OFI_Reversal                        GC  trades=9648  dsr=-0.008  pnl=$ 161,276
  OFI_Reversal                        GC  trades=9648  dsr=-0.008  pnl=$ 149,392
  OFI_Reversal                        GC  trades=9648  dsr=-0.008  pnl=$ 454,198
  OFI_Reversal                        GC  trades=9648  dsr=-0.008  pnl=$ 478,648
  OFI_Reversal                        GC  trades=9928  dsr=-0.008  pnl=$ 168,340
  OFI_Reversal                        GC  trades=9928  dsr=-0.008  pnl=$ 160,707
  OFI_Reversal                        GC  trades=9928  dsr=-0.008  pnl=$ 469,780
  OFI_Reversal                        GC  trades=9928  dsr=-0.008  pnl=$ 496,603
  OFI_Reversal                        GC  trades=8255  dsr=+0.299  pnl=$  71,486
  OFI_Reversal                        GC  trades=8255  dsr=+0.314  pnl=$  57,194
  OFI_Reversal                        GC  trades=8255  dsr=-0.008  pnl=$ 315,544
  OFI_Reversal                        GC  trades=8255  dsr=-0.008  pnl=$ 330,662
  OFI_Reversal                        GC  trades=8467  dsr=+0.267  pnl=$  75,806
  OFI_Reversal                        GC  trades=8467  dsr=+0.314  pnl=$  62,744
  OFI_Reversal                        GC  trades=8467  dsr=-0.008  pnl=$ 326,769
  OFI_Reversal                        GC  trades=8467  dsr=-0.008  pnl=$ 342,962
  OFI_Reversal                        GC  trades=5471  dsr=+0.040  pnl=$   4,527
  OFI_Reversal                        GC  trades=5471  dsr=-0.009  pnl=$ -29,253
  OFI_Reversal                        GC  trades=5471  dsr=-0.009  pnl=$ 157,768
  OFI_Reversal                        GC  trades=5471  dsr=-0.009  pnl=$ 138,339
  OFI_Reversal                        GC  trades=5593  dsr=+0.067  pnl=$   7,439
  OFI_Reversal                        GC  trades=5593  dsr=-0.009  pnl=$ -25,702
  OFI_Reversal                        GC  trades=5593  dsr=-0.009  pnl=$ 163,697
  OFI_Reversal                        GC  trades=5593  dsr=-0.009  pnl=$ 144,389
  OFI_Microprice                      GC  trades=12902  dsr=-0.008  pnl=$ 140,210
  OFI_Microprice                      GC  trades=12902  dsr=+0.241  pnl=$ 130,618
  OFI_Microprice                      GC  trades=12902  dsr=-0.008  pnl=$ 536,620
  OFI_Microprice                      GC  trades=12902  dsr=-0.008  pnl=$ 576,522
  OFI_Microprice                      GC  trades=10922  dsr=-0.008  pnl=$ 203,008
  OFI_Microprice                      GC  trades=10922  dsr=-0.008  pnl=$ 220,558
  OFI_Microprice                      GC  trades=10922  dsr=-0.008  pnl=$ 563,336
  OFI_Microprice                      GC  trades=10922  dsr=-0.008  pnl=$ 622,179
  OFI_Microprice                      GC  trades=10885  dsr=+0.327  pnl=$  89,893
  OFI_Microprice                      GC  trades=10885  dsr=+0.344  pnl=$  96,582
  OFI_Microprice                      GC  trades=10885  dsr=-0.008  pnl=$ 457,728
  OFI_Microprice                      GC  trades=10885  dsr=-0.008  pnl=$ 500,676
  OFI_Microprice                      GC  trades=9258  dsr=+0.089  pnl=$ 162,423
  OFI_Microprice                      GC  trades=9258  dsr=-0.007  pnl=$ 176,156
  OFI_Microprice                      GC  trades=9258  dsr=-0.008  pnl=$ 491,842
  OFI_Microprice                      GC  trades=9258  dsr=-0.008  pnl=$ 531,582
  OFI_Microprice                      GC  trades=8358  dsr=+0.393  pnl=$  61,228
  OFI_Microprice                      GC  trades=8358  dsr=+0.377  pnl=$  71,319
  OFI_Microprice                      GC  trades=8358  dsr=-0.009  pnl=$ 363,166
  OFI_Microprice                      GC  trades=8358  dsr=-0.009  pnl=$ 405,583
  OFI_Microprice                      GC  trades=7151  dsr=+0.466  pnl=$ 108,702
  OFI_Microprice                      GC  trades=7151  dsr=+0.276  pnl=$ 119,897
  OFI_Microprice                      GC  trades=7151  dsr=-0.009  pnl=$ 377,323
  OFI_Microprice                      GC  trades=7151  dsr=-0.009  pnl=$ 410,344
  Sweep_Continuation                  GC  trades=2316  dsr=+0.848  pnl=$  17,983
  Sweep_Continuation                  GC  trades=2316  dsr=+0.298  pnl=$   7,136
  Sweep_Continuation                  GC  trades=2316  dsr=-0.015  pnl=$  72,351
  Sweep_Continuation                  GC  trades=2316  dsr=-0.015  pnl=$  66,250
  Sweep_Continuation                  GC  trades= 706  dsr=-0.020  pnl=$  -1,916
  Sweep_Continuation                  GC  trades= 706  dsr=-0.020  pnl=$ -13,968
  Sweep_Continuation                  GC  trades= 706  dsr=+1.273  pnl=$   9,174
  Sweep_Continuation                  GC  trades= 706  dsr=-0.020  pnl=$  -1,305
  Sweep_Continuation                  GC  trades= 970  dsr=+0.737  pnl=$  11,186
  Sweep_Continuation                  GC  trades= 970  dsr=+0.097  pnl=$   1,208
  Sweep_Continuation                  GC  trades= 970  dsr=-0.019  pnl=$  29,025
  Sweep_Continuation                  GC  trades= 970  dsr=+0.148  pnl=$  25,054
  Sweep_Continuation                  GC  trades= 194  dsr=+0.754  pnl=$  -6,117
  Sweep_Continuation                  GC  trades= 194  dsr=-0.032  pnl=$  -9,246
  Sweep_Continuation                  GC  trades= 194  dsr=-0.032  pnl=$  -3,067
  Sweep_Continuation                  GC  trades= 194  dsr=-0.032  pnl=$  -5,913
  Sweep_Absorption_Reversal           GC  trades= 499  dsr=-0.023  pnl=$   8,078
  Sweep_Absorption_Reversal           GC  trades= 499  dsr=-0.023  pnl=$   8,449
  Sweep_Absorption_Reversal           GC  trades= 499  dsr=-0.023  pnl=$  11,879
  Sweep_Absorption_Reversal           GC  trades= 499  dsr=-0.023  pnl=$  13,753
  Sweep_Absorption_Reversal           GC  trades= 489  dsr=+0.302  pnl=$   2,304
  Sweep_Absorption_Reversal           GC  trades= 489  dsr=+0.401  pnl=$   2,629
