strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1587,0.4203,21832.5,297.84,-192.2,1.123,1.2048,0.7601,14495.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2759,0.4284,122864.92,488.25,-288.04,1.27,2.1738,0.6851,11081.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2348,0.4561,39025.5,396.04,-301.6,1.101,0.9208,0.6841,13965.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2278,0.4333,113682.0,506.17,-298.93,1.295,2.3425,0.6811,10473.0
Sweep_Continuation,GC,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1711,0.4272,14931.5,247.51,-169.38,1.09,0.8685,0.6571,12958.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2299,0.4502,36654.5,420.98,-315.72,1.092,0.8411,0.6527,15354.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",2216,0.4183,110068.0,554.31,-313.25,1.273,2.1435,0.6362,8944.5
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",4449,0.4023,82730.5,345.52,-201.48,1.154,1.4333,0.6271,23569.5
CVD_VWAP,GC,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",3477,0.4193,121584.5,469.74,-279.0,1.216,1.5593,0.6249,14508.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",4788,0.4117,149176.22,483.64,-285.44,1.186,1.8276,0.6234,20516.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",3062,0.4174,143084.0,549.95,-313.76,1.256,2.1827,0.6167,13083.5
