======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['SI']  Strategies: 16
======================================================================
[SI] Primary bars: 37,920 rows
[SI] Quick mode: 15,172 bars from 2024
[SI] 15,172 bars ready. L2 cols present: 17/17

[SI] Running 16 strategy classes ...
  OFI_Continuation                    SI  trades= 509  dsr=+0.388  pnl=$  20,198
  OFI_Continuation                    SI  trades= 509  dsr=+0.078  pnl=$  29,610
  OFI_Continuation                    SI  trades= 509  dsr=+0.276  pnl=$  34,277
  OFI_Continuation                    SI  trades= 509  dsr=-0.014  pnl=$  43,700
  OFI_Continuation                    SI  trades= 420  dsr=-0.015  pnl=$  35,415
  OFI_Continuation                    SI  trades= 420  dsr=-0.015  pnl=$  39,331
  OFI_Continuation                    SI  trades= 420  dsr=-0.015  pnl=$  44,940
  OFI_Continuation                    SI  trades= 420  dsr=-0.015  pnl=$  46,115
  OFI_Continuation                    SI  trades= 508  dsr=+0.253  pnl=$   8,786
  OFI_Continuation                    SI  trades= 508  dsr=+0.377  pnl=$  16,704
  OFI_Continuation                    SI  trades= 508  dsr=+0.327  pnl=$  14,604
  OFI_Continuation                    SI  trades= 508  dsr=+0.595  pnl=$  23,266
  OFI_Continuation                    SI  trades= 418  dsr=-0.015  pnl=$  35,390
  OFI_Continuation                    SI  trades= 418  dsr=-0.015  pnl=$  53,543
  OFI_Continuation                    SI  trades= 418  dsr=-0.015  pnl=$  48,939
  OFI_Continuation                    SI  trades= 418  dsr=-0.015  pnl=$  67,166
  OFI_Continuation                    SI  trades= 437  dsr=-0.015  pnl=$  20,086
  OFI_Continuation                    SI  trades= 437  dsr=-0.015  pnl=$  41,347
  OFI_Continuation                    SI  trades= 437  dsr=-0.015  pnl=$  27,536
  OFI_Continuation                    SI  trades= 437  dsr=-0.015  pnl=$  41,971
  OFI_Continuation                    SI  trades= 359  dsr=-0.016  pnl=$  28,773
  OFI_Continuation                    SI  trades= 359  dsr=-0.016  pnl=$  40,957
  OFI_Continuation                    SI  trades= 359  dsr=-0.016  pnl=$  37,220
  OFI_Continuation                    SI  trades= 359  dsr=-0.016  pnl=$  43,404
  OFI_Reversal                        SI  trades=5006  dsr=-0.009  pnl=$ 119,347
  OFI_Reversal                        SI  trades=5006  dsr=-0.009  pnl=$ 146,722
  OFI_Reversal                        SI  trades=5006  dsr=-0.009  pnl=$ 492,648
  OFI_Reversal                        SI  trades=5006  dsr=-0.009  pnl=$ 549,893
  OFI_Reversal                        SI  trades=5110  dsr=-0.009  pnl=$ 110,320
  OFI_Reversal                        SI  trades=5110  dsr=-0.009  pnl=$ 141,348
  OFI_Reversal                        SI  trades=5110  dsr=-0.009  pnl=$ 478,018
  OFI_Reversal                        SI  trades=5110  dsr=-0.009  pnl=$ 539,808
  OFI_Reversal                        SI  trades=4011  dsr=-0.009  pnl=$ 149,444
  OFI_Reversal                        SI  trades=4011  dsr=-0.009  pnl=$ 200,067
  OFI_Reversal                        SI  trades=4011  dsr=-0.009  pnl=$ 457,876
  OFI_Reversal                        SI  trades=4011  dsr=-0.009  pnl=$ 535,538
  OFI_Reversal                        SI  trades=4097  dsr=-0.009  pnl=$ 139,610
  OFI_Reversal                        SI  trades=4097  dsr=-0.009  pnl=$ 191,966
  OFI_Reversal                        SI  trades=4097  dsr=-0.009  pnl=$ 441,716
  OFI_Reversal                        SI  trades=4097  dsr=-0.009  pnl=$ 521,634
  OFI_Reversal                        SI  trades=2492  dsr=-0.010  pnl=$  70,847
  OFI_Reversal                        SI  trades=2492  dsr=-0.010  pnl=$ 119,455
  OFI_Reversal                        SI  trades=2492  dsr=-0.010  pnl=$ 278,638
  OFI_Reversal                        SI  trades=2492  dsr=-0.010  pnl=$ 350,648
  OFI_Reversal                        SI  trades=2554  dsr=-0.010  pnl=$  61,122
  OFI_Reversal                        SI  trades=2554  dsr=-0.010  pnl=$ 110,476
  OFI_Reversal                        SI  trades=2554  dsr=-0.010  pnl=$ 261,217
  OFI_Reversal                        SI  trades=2554  dsr=-0.010  pnl=$ 334,520
  OFI_Microprice                      SI  trades=6567  dsr=-0.009  pnl=$ 383,400
  OFI_Microprice                      SI  trades=6567  dsr=-0.009  pnl=$ 420,614
  OFI_Microprice                      SI  trades=6567  dsr=-0.009  pnl=$ 896,748
  OFI_Microprice                      SI  trades=6567  dsr=-0.009  pnl=$ 889,474
  OFI_Microprice                      SI  trades=5463  dsr=-0.009  pnl=$ 470,773
  OFI_Microprice                      SI  trades=5463  dsr=-0.009  pnl=$ 509,689
  OFI_Microprice                      SI  trades=5463  dsr=-0.009  pnl=$ 985,829
  OFI_Microprice                      SI  trades=5463  dsr=-0.009  pnl=$ 995,606
  OFI_Microprice                      SI  trades=5365  dsr=-0.009  pnl=$ 260,035
  OFI_Microprice                      SI  trades=5365  dsr=-0.009  pnl=$ 287,726
  OFI_Microprice                      SI  trades=5365  dsr=-0.009  pnl=$ 720,785
  OFI_Microprice                      SI  trades=5365  dsr=-0.009  pnl=$ 721,125
  OFI_Microprice                      SI  trades=4470  dsr=-0.009  pnl=$ 362,731
  OFI_Microprice                      SI  trades=4470  dsr=-0.009  pnl=$ 391,255
  OFI_Microprice                      SI  trades=4470  dsr=-0.009  pnl=$ 809,375
  OFI_Microprice                      SI  trades=4470  dsr=-0.009  pnl=$ 826,288
  OFI_Microprice                      SI  trades=4168  dsr=+0.323  pnl=$ 168,820
  OFI_Microprice                      SI  trades=4168  dsr=+0.267  pnl=$ 190,542
  OFI_Microprice                      SI  trades=4168  dsr=-0.009  pnl=$ 547,222
  OFI_Microprice                      SI  trades=4168  dsr=-0.009  pnl=$ 525,396
  OFI_Microprice                      SI  trades=3502  dsr=-0.010  pnl=$ 316,912
  OFI_Microprice                      SI  trades=3502  dsr=-0.010  pnl=$ 348,826
  OFI_Microprice                      SI  trades=3502  dsr=-0.009  pnl=$ 704,188
  OFI_Microprice                      SI  trades=3502  dsr=-0.010  pnl=$ 713,086
  Sweep_Continuation                  SI  trades= 620  dsr=-0.705  pnl=$ -13,561
  Sweep_Continuation                  SI  trades= 620  dsr=+0.455  pnl=$  16,452
  Sweep_Continuation                  SI  trades= 620  dsr=+0.394  pnl=$   9,980
  Sweep_Continuation                  SI  trades= 620  dsr=+0.748  pnl=$  43,618
  Sweep_Continuation                  SI  trades= 144  dsr=+0.490  pnl=$   1,597
  Sweep_Continuation                  SI  trades= 144  dsr=+1.250  pnl=$   5,660
  Sweep_Continuation                  SI  trades= 144  dsr=+1.385  pnl=$   6,427
  Sweep_Continuation                  SI  trades= 144  dsr=+0.828  pnl=$   7,790
  Sweep_Continuation                  SI  trades= 235  dsr=+1.081  pnl=$   8,540
  Sweep_Continuation                  SI  trades= 235  dsr=+1.009  pnl=$   9,154
  Sweep_Continuation                  SI  trades= 235  dsr=+1.523  pnl=$  22,290
  Sweep_Continuation                  SI  trades= 235  dsr=+0.556  pnl=$  23,112
  Sweep_Continuation                  SI  trades=  54  dsr=+0.459  pnl=$     502
  Sweep_Continuation                  SI  trades=  54  dsr=-0.761  pnl=$    -897
  Sweep_Continuation                  SI  trades=  54  dsr=+1.887  pnl=$   1,944
  Sweep_Continuation                  SI  trades=  54  dsr=-0.744  pnl=$  -1,023
  Sweep_Absorption_Reversal           SI  trades= 169  dsr=-4.010  pnl=$ -11,434
  Sweep_Absorption_Reversal           SI  trades= 169  dsr=-7.341  pnl=$ -18,988
  Sweep_Absorption_Reversal           SI  trades= 169  dsr=-3.119  pnl=$  -8,983
  Sweep_Absorption_Reversal           SI  trades= 169  dsr=-6.119  pnl=$ -16,253
  Sweep_Absorption_Reversal           SI  trades= 168  dsr=-3.939  pnl=$ -11,235
  Sweep_Absorption_Reversal           SI  trades= 168  dsr=-7.255  pnl=$ -18,788
  Sweep_Absorption_Reversal           SI  trades= 168  dsr=-3.049  pnl=$  -8,784
  Sweep_Absorption_Reversal           SI  trades= 168  dsr=-6.035  pnl=$ -16,054
  Sweep_Absorption_Reversal           SI  trades=  70  dsr=-3.324  pnl=$  -3,471
